parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2020,M,50-59,3746,474,0.04868529170090386,9736,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F90-F98,Tavaliselt lapseeas alanud käitumis- ja tundeeluhäired,NA,NA,2020,M,50-59,67,8,8.216926869351e-4,9736,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2020,M,50-59,1191,88,0.00903861955628594,9736,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2020,M,50-59,432,87,0.00893590797041906,9736,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2020,M,50-59,1515,480,0.04930156121610517,9736,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2020,M,50-59,910,169,0.0173582580115037,9736,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2020,M,50-59,19,9,9.24404272802e-4,9736,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2020,M,50-59,468,84,0.0086277732128184,9736,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2020,M,50-59,717,38,0.00390304026294165,9736,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2020,N,50-59,2267,194,0.01017144654747549,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2020,N,50-59,599,96,0.00503329313689508,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2020,N,50-59,1932,98,0.0051381534105804,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2020,N,50-59,18127,1842,0.09657631206417448,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2020,N,50-59,13713,1926,0.10098044355895767,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2020,N,50-59,2137,507,0.02658207937922718,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2020,N,50-59,508,61,0.00319823834740208,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F70-F79,Vaimne alaareng,NA,NA,2020,N,50-59,73,17,8.913123263252e-4,19073,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F90-F98,Tavaliselt lapseeas alanud käitumis- ja tundeeluhäired,NA,NA,2020,N,50-59,47,11,5.767315052692e-4,19073,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2020,N,50-59,42,16,8.388821894825e-4,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2020,N,50-59,47106,4800,0.25166465684475436,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2020,N,50-59,1275,242,0.01268809311592303,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2020,N,50-59,333,32,0.00167776437896502,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2020,N,50-59,6544,1030,0.05400304094793688,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2020,N,50-59,512,113,0.00592460546322025,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2020,N,50-59,526,142,0.00744507943165731,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2020,N,50-59,2875,1011,0.05300686834792639,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2020,N,50-59,69,39,0.00204477533686362,19073,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2020,M,60-69,12,6,8.952551477171e-4,6702,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2020,M,60-69,2660,351,0.05237242614145031,6702,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2020,M,60-69,334,32,0.00477469412115786,6702,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2020,M,60-69,5601,729,0.10877350044762756,6702,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2020,M,60-69,1013,88,0.01313040883318412,6702,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2020,M,60-69,43751,3808,0.5681886004177857,6702,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2020,M,60-69,2877,496,0.07400775887794687,6702,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2020,M,60-69,959,159,0.02372426141450313,6702,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2020,M,60-69,65,11,0.00164130110414801,6702,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2020,M,60-69,511,81,0.01208594449418084,6702,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2020,M,60-69,1111,199,0.02969262906595046,6702,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2020,M,60-69,339,20,0.00298418382572366,6702,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2020,M,60-69,2821,320,0.04774694121157863,6702,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2020,M,60-69,1434,405,0.06042972247090421,6702,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2020,M,60-69,12494,1106,0.16502536556251865,6702,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2020,N,60-69,91,27,0.00187526045284067,14398,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2020,N,60-69,192,40,0.00277816363383803,14398,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2020,N,60-69,13033,1392,0.09668009445756356,14398,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2020,N,60-69,1951,188,0.01305736907903875,14398,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2020,N,60-69,12817,1492,0.10362550354215865,14398,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F90-F98,Tavaliselt lapseeas alanud käitumis- ja tundeeluhäired,NA,NA,2020,N,60-69,36,9,6.250868176136e-4,14398,F,Mental and behavioural disorders,Mental health disorders,NA
