parent0_code,parent0_name,parent1_code,parent1_name,parent2_code,parent2_name,year,gender,age_group,diagnosis_count,patient_count,prevalence,denominator,gender_EN,parent0_name_EN,short_name,parent2_name_EN
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2013,M,50-59,374,44,0.01568068424803991,2806,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2013,M,50-59,146,49,0.01746258018531717,2806,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2013,M,50-59,11704,1198,0.4269422665716322,2806,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2013,M,50-59,460,28,0.00997861724875267,2806,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2013,M,50-59,819,178,0.06343549536707056,2806,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,M,50-59,316,92,0.03278688524590164,2806,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2013,M,50-59,58,13,0.00463292943692088,2806,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2013,M,50-59,34,8,0.00285103349964362,2806,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,M,50-59,566,126,0.04490377761938703,2806,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2013,N,50-59,189,31,0.00487268154668343,6362,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F70-F79,Vaimne alaareng,NA,NA,2013,N,50-59,77,11,0.00172901603269412,6362,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2013,N,50-59,139,34,0.00534423137378183,6362,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,N,50-59,127,39,0.00613014775227915,6362,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2013,N,50-59,1180,476,0.07481923923294562,6362,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2013,N,50-59,906,124,0.01949072618673373,6362,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2013,N,50-59,1877,106,0.01666142722414335,6362,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2013,N,50-59,120,12,0.00188619930839358,6362,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2013,N,50-59,857,221,0.03473750392958189,6362,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2013,N,50-59,33,20,0.00314366551398931,6362,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2013,N,50-59,5506,795,0.12496070418107512,6362,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2013,N,50-59,2981,571,0.08975165042439484,6362,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2013,N,50-59,3527,704,0.11065702609242375,6362,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,N,50-59,973,237,0.03725243634077334,6362,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2013,N,50-59,21217,2362,0.3712668972021377,6362,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2013,N,50-59,184,64,0.01005972964476579,6362,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2013,N,50-59,348,87,0.0136749449858535,6362,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,M,60-69,286,63,0.02719033232628398,2317,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,M,60-69,722,145,0.06258092360811394,2317,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2013,M,60-69,122,22,0.00949503668536901,2317,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2013,M,60-69,317,22,0.00949503668536901,2317,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2013,M,60-69,514,131,0.05653862753560639,2317,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2013,M,60-69,20,14,0.00604229607250755,2317,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2013,M,60-69,516,143,0.06171773845489858,2317,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2013,M,60-69,16839,1484,0.6404833836858006,2317,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2013,M,60-69,580,141,0.06085455330168321,2317,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2013,M,60-69,571,120,0.05179110919292188,2317,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2013,M,60-69,434,66,0.02848511005610703,2317,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2013,M,60-69,3137,494,0.21320673284419508,2317,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2013,M,60-69,5007,544,0.2347863616745792,2317,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2013,M,60-69,946,153,0.0660336642209754,2317,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2013,N,60-69,1244,422,0.08354781231439319,5051,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2013,N,60-69,2276,473,0.09364482280736489,5051,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2013,N,60-69,460,125,0.0247475747376757,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F60-F69,Täiskasvanu isiksus- ja käitumishäired,NA,NA,2013,N,60-69,106,21,0.00415759255592951,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2013,N,60-69,638,182,0.03603246881805583,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,N,60-69,1104,257,0.05088101366066126,5051,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2013,N,60-69,2883,604,0.11958028113244902,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2013,N,60-69,6535,869,0.17204513957632153,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2013,N,60-69,3904,644,0.12749950504850524,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2013,N,60-69,153,27,0.00534547614333795,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2013,N,60-69,1429,76,0.01504652544050683,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2013,N,60-69,35578,3198,0.6331419520886953,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,N,60-69,162,30,0.00593941793704217,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2013,N,60-69,170,42,0.00831518511185903,5051,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2013,N,60-69,21,11,0.00217778657691546,5051,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2013,N,60-69,1020,131,0.02593545832508414,5051,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I10-I15,Kõrgvererõhkhaigused,NA,NA,2013,M,70-79,14224,1188,0.737888198757764,1610,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,M,70-79,71,14,0.00869565217391304,1610,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,M,70-79,587,119,0.07391304347826087,1610,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2013,M,70-79,641,99,0.06149068322981366,1610,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F20-F29,"Skisofreenia, skisotüüpsed ja luululised häired",NA,NA,2013,M,70-79,90,6,0.00372670807453416,1610,M,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I26-I28,Kopsutekkene südamehaigus ja kopsuvereringe haigused,NA,NA,2013,M,70-79,228,29,0.01801242236024844,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I60-I69,Peaajuveresoonte haigused e tserebrovaskulaarsed haigused,NA,NA,2013,M,70-79,629,145,0.09006211180124224,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2013,M,70-79,771,163,0.10124223602484472,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I20-I25,Südame isheemiatõved,NA,NA,2013,M,70-79,3211,500,0.3105590062111801,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I30-I52,Muud südamehaigused,NA,NA,2013,M,70-79,6433,639,0.3968944099378882,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I80-I89,"Veenide, lümfisoonte ja -sõlmede mujal klassifitseerimata haigused",NA,NA,2013,M,70-79,478,129,0.08012422360248447,1610,M,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2013,M,70-79,37,11,0.00683229813664596,1610,M,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F40-F49,"Neurootilised, stressiga seotud ja somatoformsed häired",NA,NA,2013,M,70-79,324,84,0.05217391304347826,1610,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F00-F09,Orgaanilised - k.a sümptomaatilised - psüühikahäired,NA,NA,2013,M,70-79,339,71,0.04409937888198757,1610,M,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F30-F39,Meeleoluhäired,NA,NA,2013,N,70-79,2581,456,0.13388138578978273,3406,F,Mental and behavioural disorders,Mental health disorders,NA
I00-I99,Vereringeelundite haigused,I95-I99,Vereringeelundite muud ja täpsustamata haigusseisundid,NA,NA,2013,N,70-79,9,6,0.0017615971814445,3406,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I70-I79,"Arterite, arterioolide ja kapillaaride haigused",NA,NA,2013,N,70-79,677,192,0.05637110980622431,3406,F,Diseases of the circulatory system,Circulatory system,NA
I00-I99,Vereringeelundite haigused,I05-I09,Kroonilised reumaatilised südamehaigused,NA,NA,2013,N,70-79,145,47,0.01379917792131532,3406,F,Diseases of the circulatory system,Circulatory system,NA
F00-F99,Psüühika- ja käitumishäired,F50-F59,Füsioloogiliste funktsioonide häirete ja füüsiliste e somaatiliste teguritega seotud käitumissündroomid,NA,NA,2013,N,70-79,1270,268,0.07868467410452143,3406,F,Mental and behavioural disorders,Mental health disorders,NA
F00-F99,Psüühika- ja käitumishäired,F10-F19,Psühhoaktiivsete ainete tarvitamisest tingitud psüühika- ja käitumishäired,NA,NA,2013,N,70-79,45,15,0.00440399295361127,3406,F,Mental and behavioural disorders,Mental health disorders,NA
